record_id,time,victim,narrative,date_raw,source_page,notes
470,1328 HRS.,OAK PARK RESIDENT,"offender: m/b, aprox. 20 yoa, medium complexion, 5'9""-5'11"", athletic build, last seen wearing a full black ski mask, navy blue sweatshirt possibly with a hood, with unknown orange writing along the whole chest area and jeans. the offender displayed a silver colored firearm and demanded the victim's property. the offender received the victim's rosegold colored apple iphone 8 and apple airpods and fled s/b in the oak park / euclid alley. estimated loss $400.00",20-APR-20,2.0,
471,1358 - 1401 HRS.,OAK PARK BUSINESS,"offender f/b 30-35 yoa, 5'6"", blond hair, exited the store past the last point of purchase with a shopping cart full of items she had not paid for. the offender abandoned the shopping cart full of items at scoville and washington, but removed four bottles of jose quervo tequilla and fled the area in a dark colored suv, driven by an unknown male subject which traveled n/b on washington from ridgeland. recovered groceries valued at $171.90. total loss is $59.96.",07-AUG-19,2.0,
472,2222 HRS.,WISCONSIN RESIDENT,"while the victim was exiting his vehicle, a dark color suv traveling southbound parked next to his vehicle. four (4) or five (5) male subjects all holding handguns exited the suv. one of the subjects struck the victim in the head with the handgun. the subjects then removed the victim's backpack and an ""apple iphone 11"" cellphone, re-entered the suv and drove away southbound on home ave. the backpack contained two (2) ""apple ipad pros"". loss estimated at $1,100.00.",04-FEB-24,4.0,
473,1604 HRS.,WALGREENS,"offender m/b, approx. 20 yoa, 6'3, thin build, last seen wearing a gray hooded windbreaker jacket and black pants entered the business. once inside, the offender walked behind the front cash register area, removed several 750 ml liquor bottles and multiple packs of newport cigarettes. the offender walked past the last point of purchase without paying for the items and entered into a white nissan altima. the offender fled in an unknown direction. unknown loss at time of report.",23-MAY-22,1.0,
474,1219 HRS.,OLD NAVY,"offender#1 female- approximately 20 yoa, 5'7, thin build last seen wearing a black hooded sweatshirt with timberland logo, gray pants and black shoes / offender #2 male black approximately 20 yoa, 5'11, last seen wearing a black hooded sweatshirt, white face mask, gray pants, and black shoes entered the business. once inside, the offenders removed several child/baby clothing items and walked passed the last point of purchase without paying. estimated loss $944.00.",08-DEC-21,2.0,
475,1732 - 1734 HRS.,OAK PARK BUSINESS,"offender: m/b, dark complexion, 5'10"" - 6'00"", wearing a yellow shirt, red jacket, blue jeans carrying a camouflage backpack removed 4 bottles of jack daniels, 2 bottles of jose cuervo tequila, 4 bottles of lux apple vodka, 1 bottle of svedka vodka, and 2 bottles of titos vodka. the offender then walked past the last point of purchase and entered the passenger side of a white chevrolet sedan that was last seen northbound on oak park ave. estimated loss $334.95",04-OCT-18,2.0,
476,2126,WHEELING RESIDENT,"as the victim was in the courtyard she was approached by two m/b's wearing black ski masks and black hoodies. offender #1 pointed a handgun toward the victim and the victim dropped her tan steve madden tote bag containing misc. id, credit cards and $90 usc, along with her gold colored apple i-phone 7 plus cell phone. offenders picked up the items and then entered a white 4dr auto driven by a 3rd subject. the auto was last seen n/b on wisconsin. loss est. at $830.",14-FEB-18,1.0,
477,0320 - 0326 HRS,OAK PARK RESIDENTS (3) NA,"offender #1: m/b and offender #2: m/ b removed catalytic converters from the following vehicles : tan 2006 lexus suv, a white 2010 toyota sedan, and a black 2009 honda cr v, while offender #3: m/b heavy set with dreadlocks wearing a hoodie and sweat pants acted as a look -out. all (3) offenders then entered a gray/silver suv and fled in an unknown direction. estimated loss for each victim $1,000.00.",,,
478,1155 HRS.,FRANKLIN PARK RESIDENT,"person(s) unknown by unknown means gained entry to the victims 2022 blue kia sportage. a witness observed a male subject enter the victim's kia and drove away east bound erie st. the witness also observed a chase vehicle described as a black sedan no further, occupied with mulitple subjects followed the kia. vehicle entered into leads. estimated loss $25,000.00. the vehicle was later recovered in the 300 block of e. lower wacker drive in chicago.",02-MAY-25,1.0,
479,1441 HRS.,STATE OF ILLINOIS,a m/h subject entered the business at the above location. the subject attempted to remove an item and leave the store when the clerk remotely locked the door. the subejct produced a black handgun and fired it four times at the glass on the front door causing it to shatter. the subject then exited the store and entered a silver subaru outback with extensive front end damage which was last seen e/b on north ave. damage estimate is unknown.,18-APR-25,4.0,
480,0120 HRS,FOREST PARK RESIDENT,victim related she was being followed by a black mini van driven by a m/b mid 20's mid-length dreadlocks and another subject in the passenger seat. the victim exited her 2013 silver toyota rav 4 at the above location and heard multiple gun shots. it was found that the victim's vehicle had five bullet holes in the front passenger side door and both the front tires were flat. the offending vehicle was last seen e/b washington from austin.,17-SEP-22,2.0,
481,0100 HRS,MELROSE PARK RESIDENT (X2),"the victims related they were in the rear of the above location about to tow a vehicle when a m/b thin build 508-600 beard lsw a white hat, white tank top, light grey shorts and black shoes carrying a black backpack approached them and stated ""if you tow this car i'm gonna come at you"". when victim #1 hooked the car the offender pulled a handgun out of his backpack and cocked it. the victims then left the area and the offender was last seen e/b on division.",19-JUL-19,2.0,
482,1500-0500 HRS.,OAK PARK RESIDENT,"person(s) unknown by possible means of an unlocked door gained entry to the victim's - 2021 black toyota highlander suv, while parked at the above location. once inside, offender(s) ransacked the interior and removed a white coach zip-up wallet from the center console. the wallet contained, (1) chase bank business debit card, chase bank personal debit card, (1) chase bank personal credit card and (1) bfscu credit card. estimated loss $135.00",07-MAY-25 - 08-MAY-25,1.0,
483,0116 HRS,OAK PARK RESIDENT,"the victim was walking when a dark older model sedan possibly a chevy malibu occuppied by four subjects pulled up next to him. two m/b offenders exited the vehicle and approached him and stated ""what you got, give it to me"". the offenders removed the victim's black adidas satchel containing $12 usc, misc. id and credit cards and his house and car keys. the victim then began to run away and the offenders left in an unknown direction. total estimated loss $32.00.",20-JUL-23,4.0,
484,0327-0355 HRS,OAK PARK RESIDENT,the victim heard the alarm on his 2020 white chevy traverse and when he looked outside he observed the vehicle being driven away w/b by an unknown offender being followed by a white or silver suv. the vehicle was tracked by onstar and it was recovered by chicago police in the rear of the 3000 block of w. fulton st in chicago. the vehicle had a broken rear drivers side window and the vehicle was tot the owner at scene. leads was cancelled.,11-MAR-26,1.0,
485,2035 HRS,CHICAGO RESIDENT,"the victim related he was standing by euclid park when he was struck from behind causing him to fall down along with him dropping his two bags containing food and alcohol. two male subjects picked up his bags and ran s/b through the park. the victim followed the subjects when one of them stated ""step up on me"" while holding something in his hand the victim believed to be a weapon. subjects were last seen n/b on clarence from fillmore on foot. loss estimated at $55.",23-MAY-25,2.0,
486,1623 HRS.,,"male juvenile who is an oak park resident was arrested for an aggravated assault to a police officer that occurred at the above location. subject was approached by officers who observed him walking in and out of yards in the 200 block of harvey (in alley). when officers approached subject, the subject swung his right arm at officer attempting to strike the officer. subject was placed in custody and transported to the station, processed and released to parent.",23-MAY-22,1.0,
487,2330 - 0548 HRS.,OAK PARK RESIDENT,"person(s) unknown, by means of an unlocked second story side window gained entry to the victim's residence. once inside, the offender(s) removed a playstation 4, a macbook air laptop computer, a men's black 3 fold wallet containing ids and misc. credit cards, and a set of keys to the victim's vehicle. offender(s), then entered the victim's garage by means of an unlocked side service door, and removed the victim's vehicle. estimated loss $75,000.00",23-AUG-18 - 24-AUG-18,1.0,
